ID,Año,Semana Epidemiológica (a),Total de Casos de Dengue (b),Tasa de Incidencia (c),Confirmados Laboratorio,% Lab Conf (x100),Dengue Grave (d),(DG/D) x100 (e),Muertes,Letalidad (f),Población X 1000,ID_Pais_Subregion,ID_Serotipo,ID_Calendario
191,2021,52,1160,"10,25007",,,,,,,11317,18,1,5
192,2022,26,3036,"26,82690",3036,"100,00000",18,"0,59289",1,0.03294,11317,18,3,9
193,2018,52,2128,"18,52206",2128,"100,00000",0,"0,00000",0,0.00000,11489,18,6,2
194,2016,52,1836,"16,11516",1836,"100,00000",29,"1,57952",0,0.00000,11393,18,9,8
195,2017,52,1248,"10,86635",1248,"100,00000",19,"1,52244",0,0.00000,11485,18,9,1
196,2015,52,1691,"15,03245",1691,"100,00000",0,"0,00000",0,0.00000,11249,18,15,7
197,2016,52,6645,"62,40023",0,"0,00000",641,"9,64635",39,0.58691,10649,19,4,8
198,2021,52,3746,"34,19755",69,"1,84196",193,"5,15216",26,0.69407,10954,19,4,5
199,2024,19,8106,"74,00037",790,"9,74587",57,"0,70318",,,10954,19,4,11
200,2020,53,3964,"36,42378",453,"11,42785",245,"6,18063",36,0.90817,10883,19,10,4
201,2018,52,1558,"14,31591",122,"7,83055",111,"7,12452",1,0.06418,10883,19,1,2
202,2019,52,20183,"185,45438",3648,"18,07462",328,"1,62513",53,0.26260,10883,19,2,3
203,2023,52,27972,"255,35877",833,"2,97798",191,"0,68283",62,0.22165,10954,19,2,10
204,2014,53,6274,"59,58781",,,424,"6,75805",62,0.98821,10529,19,7,6
205,2017,52,1363,"12,65905",18,"1,32062",88,"6,45635",3,0.22010,10767,19,6,1
206,2022,52,10784,"98,44806",,,279,"2,58717",39,0.36165,10954,19,6,9
207,2015,52,17048,"160,04506",0,"0,00000",1854,"10,87518",107,0.62764,10652,19,8,7
208,2016,52,168,"4,56398",168,"100,00000",0,"0,00000",0,0.00000,3681,20,4,8
209,2017,52,0,"0,00000",0,,0,,0,,3663,20,4,1
210,2018,52,0,"0,00000",0,,0,,0,,3659,20,4,2
211,2019,52,37,"1,01121",37,"100,00000",0,"0,00000",0,0.00000,3659,20,4,3
212,2020,53,914,"24,97950",851,"93,10722",30,"3,28228",0,0.00000,3659,20,4,4
213,2021,52,636,"22,48939",573,"90,09434",76,"11,94969",2,0.31447,2828,20,1,5
214,2022,52,1023,"36,17397",897,"87,68328",45,"4,39883",3,0.29326,2828,20,2,9
215,2023,52,1242,"43,91796",942,"75,84541",62,"4,99195",0,0.00000,2828,20,2,10
216,2024,16,885,"31,29420",757,"85,53672",53,"5,98870",0,0.00000,2828,20,2,11
217,2015,52,1867,"50,73370",57,"3,05303",0,"0,00000",0,0.00000,3680,20,3,7
218,2014,53,8880,"241,04235",530,"5,96847",2,"0,02252",0,0.00000,3684,20,7,6
219,2014,,,,,,,,,,10461,21,4,6
220,2016,,,,,,,,,,10848,21,4,8
221,2017,,,,,,,,,,10981,21,4,1
222,2018,52,90,"0,80986",1,"1,11111",,,0,0.00000,11113,21,4,2
223,2019,49,93,"0,83686",,,,,0,0.00000,11113,21,4,3
224,2020,50,1783,"16,04427",56,"3,14077",0,"0,00000",0,0.00000,11113,21,4,4
225,2021,50,6298,"54,56593",19,"0,30168",0,"0,00000",0,0.00000,11542,21,4,5
226,2022,26,3316,"28,72986",2,"0,06031",0,"0,00000",0,0.00000,11542,21,4,9
227,2023,,,,,,,,,,11542,21,4,10
228,2015,52,130,"1,22595",13,"10,00000",0,"0,00000",0,0.00000,10604,21,3,7
